"","comet_id","Final","mass"
"1",1001,"No-BP",8.383815721
"2",1114,"2BP",181.8741178
"3",1115,"No-BP",31.37874075
"4",1145,"2BP",1869.354378
"5",1154,"2BP",4.960441063
"6",1156,"No-BP",16.86058852
"7",1158,"No-BP",10.27873729
"8",1161,"2BP",91.12739477
"9",1168,"No-BP",4.915634338
"10",1172,"2BP",44.87587246
"11",1185,"No-BP",2.41019275
"12",1196,"2BP",235.7829118
"13",1002,"No-BP",3.711373318
"14",1204,"2BP",102.1283469
"15",1223,"No-BP",12.78993503
"16",1231,"2BP",3.101482745
"17",1233,"2BP",76.69996421
"18",1236,"2BP",113.4477904
"19",1238,"2BP",40.730542
"20",1243,"No-BP",241.0442761
"21",1244,"No-BP",8.074985113
"22",1250,"2BP",1506.847585
"23",1253,"No-BP",1.706511308
"24",1254,"2BP",636.9272866
"25",1271,"No-BP",323.4943182
"26",1290,"No-BP",36.56058537
"27",1292,"2BP",173241.6667
"28",1320,"No-BP",1.310053283
"29",1357,"2BP",20293.23696
"30",1410,"2BP",73.76943175
"31",1419,"2BP",5213.49511
"32",1427,"2BP",341.6921432
"33",1441,"No-BP",10.08266401
"34",1450,"No-BP",2.684866589
"35",1469,"No-BP",64.32389035
"36",1047,"2BP",513.8926121
"37",1471,"2BP",93.87365521
"38",1473,"2BP",1.88537387
"39",1474,"2BP",296.6929825
"40",1477,"No-BP",9.25701984
"41",1498,"No-BP",22.03256234
"42",1499,"2BP",3069.299689
"43",1507,"2BP",121.200035
"44",1051,"2BP",4.483948059
"45",1521,"2BP",26669.90515
"46",1523,"No-BP",15603.25904
"47",1542,"No-BP",1967.63581
"48",1545,"No-BP",357.2952643
"49",1546,"No-BP",4670.702454
"50",1548,"2BP",6680.607993
"51",1055,"No-BP",2.021131769
"52",1556,"No-BP",2577.060416
"53",1072,"No-BP",7.790050622
"54",1078,"No-BP",1.292582151
"55",1094,"No-BP",11.24931553
"56",1097,"No-BP",7.347966201
